@relation 'TrainingData_g3-8-weka.filters.unsupervised.attribute.Remove-V-R4,7,14-15,22-23,25'

@attribute light_kitchen {off,on}
@attribute audio_livingroom {off,on}
@attribute current_microwave_kitchen {off,standby,on}
@attribute current_AC_bedroom {off,standby,on}
@attribute people_bedroom {off,on}
@attribute people_kitchen {off,on}
@attribute class {OtherActivity,g3-8}

@data
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,off,standby,off,on,off,OtherActivity
off,on,standby,off,on,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,on,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,off,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
on,off,standby,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
on,off,on,standby,on,on,g3-8
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,off,standby,standby,on,off,OtherActivity
off,on,standby,standby,on,off,OtherActivity
on,off,standby,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
on,off,on,standby,off,on,g3-8
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,on,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
off,off,standby,standby,off,off,OtherActivity
