@relation 'TrainingData_g1-6-weka.filters.unsupervised.attribute.Remove-V-R6,21,25'

@attribute switch_door_hallway {on,off}
@attribute people_livingroom {off,on}
@attribute class {OtherActivity,g1-6}

@data
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
on,off,g1-6
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
on,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
on,on,OtherActivity
off,on,OtherActivity
